Time, ManagementArea, Prescription, TotalDamagedSites, TotalCohortsKilled, TotalCohortsDamaged, CohortsKilledByabiebals, CohortsKilledByacernegu, CohortsKilledByacerrubr, CohortsKilledByacersacc, CohortsKilledByacerspic, CohortsKilledBybetualle, CohortsKilledBybetupapy, CohortsKilledByceltis, CohortsKilledByfraxamer, CohortsKilledByfraxnigr, CohortsKilledByfraxpenn, CohortsKilledBylarilari, CohortsKilledByostrvirg, CohortsKilledBypiceglau, CohortsKilledBypicemari, CohortsKilledBypinubank, CohortsKilledBypinuresi, CohortsKilledBypinustro, CohortsKilledBypopubals, CohortsKilledBypopudelt, CohortsKilledBypopugran, CohortsKilledBypoputrem, CohortsKilledByprunpens, CohortsKilledByprunsero, CohortsKilledByprunvirg, CohortsKilledByqueralba, CohortsKilledByquerelli, CohortsKilledByquermacr, CohortsKilledByquerrubr, CohortsKilledBysalix, CohortsKilledBythujocci, CohortsKilledBytiliamer, CohortsKilledByulmuamer, CohortsKilledByulmurubr, 
5, 4, Pine_Unevenaged, 9, 29, 23, 0, 0, 2, 8, 0, 0, 4, 0, 0, 2, 0, 0, 1, 8, 0, 6, 0, 5, 2, 0, 6, 6, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
5, 4, Hardwoods_Unevenaged, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
5, 4, Thinning_RedPine, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 4, Thinning_PineHard, 29485, 7148, 64163, 0, 0, 3661, 2752, 0, 54, 0, 0, 0, 12232, 0, 0, 0, 9872, 0, 0, 19211, 10775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7148, 0, 0, 5023, 583, 0, 
5, 4, Thinning_Aspen, 6, 6, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, JPine_Clearcut, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, CNF_SpruceFir, 6, 57, 0, 11, 0, 7, 3, 0, 0, 7, 0, 0, 3, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 
5, 5, Aspen_Clearcut, 5, 22, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, Oak_Clearcut, 3, 30, 0, 4, 0, 10, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 
5, 5, LowlandConifer_Clearcut, 10, 49, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 5, 0, 17, 0, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, Oak_Shelter, 4, 46, 9, 0, 0, 2, 4, 0, 0, 4, 0, 0, 5, 4, 6, 0, 0, 5, 0, 0, 0, 2, 0, 2, 8, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 3, 0, 
5, 5, Pine_Unevenaged, 927, 5273, 841, 567, 14, 346, 60, 0, 7, 655, 0, 0, 483, 31, 554, 34, 50, 706, 378, 176, 98, 170, 0, 148, 1197, 0, 0, 4, 0, 3, 101, 55, 4, 216, 46, 11, 0, 
5, 5, Oak_Unevenaged, 27110, 185414, 4496, 18682, 151, 14430, 5394, 35, 467, 19616, 0, 94, 16709, 4599, 13205, 1099, 0, 18233, 9056, 11028, 0, 5416, 0, 3971, 36248, 55, 490, 128, 20, 184, 4292, 1930, 154, 0, 0, 4224, 0, 
5, 5, Thinning_RedPine, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, Thinning_PineHard, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 5, Thinning_Aspen, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 6, JPine_Clearcut, 1, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 6, CNF_RPine_Clearcut, 1, 12, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
